model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,throughput_infps
resnet18,FP16,1,7W,default,inference,128,64,5.552401103287928,3.661590490067375,2.28925694567291,5.31071356376499,1.5163905189151181,597.2041148147882,95.16197448543271,4.809619238476953,40.52375382165842,1.114841694988271,9.141893475139725,0.1828378695027945,2.495,50.0,20.0
resnet18,FP16,1,7W,default,inference,128,64,5.523840844899882,3.64275612119485,2.2774815410022478,5.283396489802842,1.5163905189151183,594.1322359083072,94.6724834473283,4.809619238476953,40.52375382165842,1.114841694988271,9.09486970381107,0.1818973940762214,2.495,50.0,20.0
resnet18,FP16,1,7W,default,inference,128,64,5.609413316376322,3.69918780578337,2.3127631013653547,5.365244122295694,1.5163905189151181,603.3362237200555,96.13910035698817,4.809619238476953,40.52375382165842,1.114841694988271,9.23576269840737,0.18471525396814742,2.495,50.0,20.0
resnet18,FP16,1,7W,default,train,128,64,5.405900644984673,4.774860405795752,3.9962645379362907,5.172030256359574,1.1321588874981476,265.73307240442193,112.18673971943477,27.655310621242485,41.73637715063756,1.7758505553072126,11.913369753499005,0.2382673950699801,2.495,50.0,20.0
resnet18,FP16,1,7W,default,train,128,64,5.336788541921897,4.713815879425869,3.9451740231914063,5.105908085125639,1.132158887498148,262.3357899360066,110.75248074448294,27.655310621242485,41.73637715063756,1.7758505553072126,11.761062470716688,0.23522124941433376,2.495,50.0,20.0
resnet18,FP16,1,7W,default,train,128,64,5.433595886893892,4.799322733667787,4.016738002096987,5.198527345099926,1.1321588874981479,267.09446289359954,112.76148925694574,27.655310621242485,41.73637715063756,1.7758505553072126,11.974403738202968,0.23948807476405937,2.495,50.0,20.0
resnet18,FP16,1,15W,default,inference,128,64,11.993382069176324,6.364599036392087,2.106374931831933,11.686272019348554,1.8843892601245524,1909.2618877255159,203.53490148896384,4.809619238476953,42.936083607908834,2.3993065376781093,15.899568767405103,0.31799137534810207,2.495,50.0,20.0
resnet18,FP16,1,15W,default,inference,128,64,11.90994477550622,6.320320873999786,2.0917209982915113,11.604971273256837,1.8843892601245522,1895.979258697237,202.11892047129112,4.809619238476953,42.936083607908834,2.3993065376781093,15.788956349588162,0.31577912699176325,2.495,50.0,20.0
resnet18,FP16,1,15W,default,inference,128,64,11.524031993220019,6.115526254091639,2.0239438687218367,11.228940415278013,1.8843892601245522,1834.5446639386153,195.56974863027853,4.809619238476953,42.936083607908834,2.3993065376781093,15.277353635292119,0.30554707270584236,2.495,50.0,20.0
resnet18,FP16,1,15W,default,train,128,64,10.906228257776066,9.547891361951523,7.111017829242059,10.52686237608177,1.1422656421539874,753.0523986628801,261.75171337433045,20.04008016032064,45.442394267534574,3.721383442306451,23.819753041443644,0.4763950608288729,2.495,50.0,20.0
resnet18,FP16,1,15W,default,train,128,64,11.049933242229416,9.673698336397822,7.204715547870873,10.665568678420417,1.1422656421539874,762.9749292284079,265.2006624529704,20.04008016032064,45.442394267534574,3.721383442306451,24.133611981454614,0.4826722396290923,2.495,50.0,20.0
resnet18,FP16,1,15W,default,train,128,64,11.19866304226464,9.803904301233427,7.3016895185959045,10.809125011479619,1.1422656421539874,773.2444128685763,268.7702081353916,20.04008016032064,45.442394267534574,3.721383442306451,24.458445372339902,0.48916890744679803,2.495,50.0,20.0
resnet18,FP16,1,25W,default,inference,128,64,19.174577906161893,9.016554175287926,1.9069987690144465,18.120721135454332,2.126597093900297,3252.493981003434,291.17166023655807,4.809619238476953,45.95637779243891,3.975771329781598,22.531550590003988,0.45063101180007975,2.495,50.0,20.0
resnet18,FP16,1,25W,default,inference,128,64,20.021694256176424,9.414897778993726,1.9912483334426982,18.921279000301215,2.1265970939002976,3396.186365947482,304.035373599865,4.809619238476953,45.95637779243891,3.975771329781598,23.526975104138312,0.47053950208276624,2.495,50.0,20.0
resnet18,FP16,1,25W,default,inference,128,64,19.608593229852662,9.22064329256155,1.9501635621098774,18.530882479688508,2.1265970939002976,3326.1139707041634,297.76231182667925,4.809619238476953,45.95637779243891,3.975771329781598,23.0415507720384,0.460831015440768,2.495,50.0,20.0
resnet18,FP16,1,25W,default,train,128,64,18.641931685847737,15.867430677110454,11.475931229501574,17.59634521109927,1.1748550893459795,1272.5108885829904,464.8069773740233,18.43687374749499,50.12958796103149,6.255016917314125,39.58575360093975,0.7917150720187951,2.495,50.0,20.0
resnet18,FP16,1,25W,default,train,128,64,18.71307032032796,15.927981663462164,11.519724012932677,17.663493830204583,1.1748550893459793,1277.366859975897,466.58070631072763,18.43687374749499,50.12958796103149,6.255016917314125,39.736815009354814,0.7947363001870963,2.495,50.0,20.0
resnet18,FP16,1,25W,default,train,128,64,18.799325413517924,16.001399307878188,11.572822454356197,17.74491105785907,1.1748550893459795,1283.2546910831904,468.73134015191874,18.43687374749499,50.12958796103149,6.255016917314125,39.91997590294591,0.7983995180589182,2.495,50.0,20.0
resnet18,FP16,1,MAXN,default,inference,128,64,32.0078522340601,14.48869828109433,2.016465221454965,30.65798872829569,2.2091599682095495,5787.512473410557,509.1811228155265,4.809619238476953,50.450655124734915,6.400638796973794,36.209780130720546,0.724195602614411,2.495,50.0,20.0
resnet18,FP16,1,MAXN,default,inference,128,64,32.40841861691679,14.670018958918009,2.041700534777707,31.041662070722793,2.209159968209549,5859.941042508521,515.5533354555263,4.809619238476953,50.450655124734915,6.400638796973794,36.66293208059003,0.7332586416118007,2.495,50.0,20.0
resnet18,FP16,1,MAXN,default,inference,128,64,31.66488519058623,14.33345056322452,1.9948586134822386,30.329485594873635,2.2091599682095495,5725.498751666316,503.7252008433888,4.809619238476953,50.450655124734915,6.400638796973794,35.821789048236816,0.7164357809647364,2.495,50.0,20.0
