model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
resnet18,FP16,1,15W,default,inference,128,64,10.780224,10.049858253521124,8.677884800000001,10.740736,1.072674233611502,5.885643707763514,3.3572761652063274,0.0,52.0,0.2530981343730691,18.022897522209757,0.12015265014806505,1.7952774180000688,150.0,torch-cuda-FP16,83.27928230314528,ina3221,0,
resnet18,FP16,1,15W,default,inference,128,64,10.977664,10.404714830769231,9.650688,10.977664,1.055066302013047,4.351642830544547,3.0894655721157602,0.0,52.218,0.3152292269092215,17.581178074311822,0.11720785382874548,1.6893431180001244,150.0,torch-cuda-FP16,88.59359601214886,ina3221,1,
resnet18,FP16,1,15W,default,inference,128,64,11.017152,10.441566340740742,9.6388224,10.977664,1.0551244555152082,3.409575517635925,3.1080892968134255,0.0,52.25,0.20269409612404637,18.282897543801344,0.1218859836253423,1.7502497250000033,150.0,torch-cuda-FP16,85.12483263308336,ina3221,2,
resnet18,FP16,1,15W,default,train,128,64,9.967103999999999,9.328116693333333,9.190912,9.769343999999998,1.0685012128035813,6.0750329232933975,3.28022749143486,0.0,52.062,0.004675938091990245,72.16490105170895,0.48109934034472635,7.73653328599994,150.0,torch-cuda-FP16-train,19.3702611891663,ina3221,0,0.0
resnet18,FP16,1,15W,default,train,128,64,9.388992,9.22624340765391,9.11168,9.30976,1.0176397462277091,5.918735563556334,3.268550411788148,0.0,52.218,0.02082961371211716,71.69561523500596,0.4779707682333731,7.770541668000078,150.0,torch-cuda-FP16-train,19.28646588865735,ina3221,1,0.0
resnet18,FP16,1,15W,default,train,128,64,9.270144,9.161778805194805,9.11168,9.230528,1.011827964537165,5.988726844511504,3.2572966764133557,0.0,52.281,0.01320635759971649,72.65235056819486,0.48434900378796575,7.929775333999942,150.0,torch-cuda-FP16-train,18.900606660899648,ina3221,2,0.0
resnet18,FP16,1,25W,default,inference,128,64,10.006656000000001,9.450543768115942,8.122496,10.006656000000001,1.0588444692209416,6.217858856506132,3.2858917579065507,0.0,52.406,0.18586187988816524,16.93024104462888,0.11286827363085919,1.7905511769999976,150.0,torch-cuda-FP16,83.50224538650879,ina3221,0,
resnet18,FP16,1,25W,default,inference,128,64,10.08576,9.81363391044776,9.163180800000001,10.046208,1.0277293907675251,6.0204431551372215,3.0994373985278356,0.0,52.5,0.13028889816476003,17.067555408927607,0.11378370272618404,1.7387621640000361,150.0,torch-cuda-FP16,85.74496281212825,ina3221,1,
resnet18,FP16,1,25W,default,inference,128,64,10.046208,9.827180417910446,9.163180800000001,10.046208,1.0222879374118712,6.168638679030095,3.0937862531593203,0.0,52.593,0.0309639109718682,17.120269029389746,0.1141351268625983,1.7416331140000239,150.0,torch-cuda-FP16,85.66441859607333,ina3221,2,
resnet18,FP16,1,25W,default,train,128,64,9.270144,9.139912091954022,9.072064000000001,9.190912,1.0142487046632125,6.151076182079427,3.238681684781501,0.0,52.593,0.009045871137210459,71.91610186512604,0.47944067910084026,7.868285098000115,150.0,torch-cuda-FP16-train,19.043639079400858,ina3221,0,0.0
