model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,qps,repeat
resnet18,FP32,1,15W,default,inference,128,64,14.696704,14.319732591800355,12.41856,14.696704,1.0263253106008072,16.95478139267651,7.303719229478786,0.0,52.406,0.3813755191088346,94.01652683463793,0.0369998137877363,6.555218425000021,2541.0,trt-fp32,387.2683969395195,ina3221,387.206,0
resnet18,FP32,1,15W,default,inference,128,64,14.696704,14.360394705882353,12.548659200000001,14.696704,1.0234192235663193,16.29225928937602,6.524642707501253,0.0,53.625,0.2966205330180019,94.32852919651727,0.03697707926166886,6.568331274999991,2551.0,trt-fp32,388.01747085668825,ina3221,387.997,1
resnet18,FP32,1,15W,default,inference,128,64,14.696704,14.355017446494465,12.615680000000001,14.657408,1.0238025871287935,16.36074647911805,6.500303380515973,0.0,54.562,0.27756832651833985,94.14007927388477,0.03701929975378874,6.5575076620000345,2543.0,trt-fp32,387.7770691557215,ina3221,387.797,2
resnet18,FP32,1,25W,default,inference,128,64,18.58304,18.013030941176474,15.043510399999999,18.544,1.0316442613508494,25.7432754426034,9.71752241248755,0.0,57.25,0.5033098647010034,118.23421100391988,0.0321288616858478,6.564055079999889,3680.0,trt-fp32,560.2262419969688,ina3221,560.284,0
resnet18,FP32,1,25W,default,inference,128,64,18.42688,17.940873647058826,15.2730176,18.42688,1.0270893359209878,25.823116374437358,9.74622270698911,0.0,58.25,0.37381691830186764,117.77297705173784,0.032160834803860686,6.5643033020000985,3662.0,trt-fp32,557.0577625993227,ina3221,557.084,1
resnet18,FP32,1,25W,default,inference,128,64,18.58304,18.060173030630633,15.4731008,18.516672,1.0289513820539022,25.827834471734647,9.784468663335089,0.0,59.375,0.36301453299758296,118.39704447317428,0.03225198705343892,6.557653932999983,3671.0,trt-fp32,559.2977730426758,ina3221,559.263,2
resnet18,FP32,1,MAXN,default,inference,128,64,20.662272,20.11039436983842,17.3074304,20.62336,1.027442407145893,29.214672959864473,10.085017961889607,0.0,60.812,0.44770796018612363,131.3586264804681,0.033046195340998265,6.534948041000007,3975.0,trt-fp32,607.88505282514,ina3221,607.896,0
resnet18,FP32,1,MAXN,default,inference,128,64,20.740096,20.21590991780822,17.5303232,20.701184,1.0259293835559697,29.00758763295963,9.763326541260101,0.0,61.906,0.3620416102143377,131.8658943399517,0.032991216997736224,6.528860775999874,3997.0,trt-fp32,611.500092638516,ina3221,611.425,1
resnet18,FP32,1,MAXN,default,inference,128,64,20.701184,20.189051504621073,17.479488,20.662272,1.0253668427792018,29.12165078484849,9.711374988157143,0.0,62.656,0.3291886359253854,131.79089964572933,0.03301375241626486,6.526988435000021,3992.0,trt-fp32,610.9291488449744,ina3221,611.004,2
resnet18,FP32,2,15W,default,inference,128,64,15.065088,14.704017539967376,12.815616,15.025856,1.0245559051498128,18.587940591144598,7.344169333219085,0.0,58.718,0.2977709307919388,96.65098181507172,0.062075132829204696,6.576138129000128,1557.0,trt-fp32,236.67555886129406,ina3221,236.693,0
