model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet18,FP16,1,15W,10.780224,0.120152650148065,0.2530981343730691,83.27928230314528,0
resnet18,FP16,1,15W,10.977664,0.1172078538287454,0.3152292269092215,88.59359601214886,0
resnet18,FP16,1,15W,11.017152,0.1218859836253423,0.2026940961240463,85.12483263308336,0
resnet18,FP16,1,15W,9.967104,0.4810993403447263,0.0046759380919902,19.3702611891663,0
resnet18,FP16,1,15W,9.388992,0.4779707682333731,0.0208296137121171,19.28646588865735,0
resnet18,FP16,1,15W,9.270144,0.4843490037879657,0.0132063575997164,18.900606660899648,0
resnet18,FP16,1,25W,10.006656,0.1128682736308591,0.1858618798881652,83.50224538650879,0
resnet18,FP16,1,25W,10.08576,0.113783702726184,0.13028889816476,85.74496281212825,0
resnet18,FP16,1,25W,10.046208,0.1141351268625983,0.0309639109718682,85.66441859607333,0
resnet18,FP16,1,25W,9.270144,0.4794406791008402,0.0090458711372104,19.043639079400855,0
resnet18,FP16,1,25W,9.30976,0.4769894363105448,0.0169654535282694,19.170521499518827,0
resnet18,FP16,1,25W,9.270144,0.4774052258316253,0.0139314419333306,19.18962622438629,0
resnet18,FP16,1,MAXN,11.767424,0.1052632384145478,0.632955754042635,99.54715996929242,0
resnet18,FP16,1,MAXN,11.8272,0.1083693661631602,0.4458051049309861,104.77849983350426,0
resnet18,FP16,1,MAXN,11.787776,0.1077619320837791,0.4452888064354242,104.89025060364396,0
resnet18,FP16,1,MAXN,10.323072,0.4274198515475942,0.0084096642873359,23.55611371519234,0
resnet18,FP16,1,MAXN,10.046208,0.4495392806316452,-0.0022874325271137,21.509640267148978,0
resnet18,FP16,1,MAXN,9.69024,0.4779989580856449,-0.0026164076096387,19.63784052908193,0
resnet18,FP16,2,15W,11.866624,0.1211123601246421,0.7967687818797717,89.45582246600245,0
resnet18,FP16,2,15W,11.945472,0.122182773970817,0.3925353509526981,93.32359969018091,0
resnet18,FP16,2,15W,11.984896,0.1226955054076411,0.4261036772653651,93.65771799680924,0
resnet18,FP16,2,15W,10.28352,0.5167746367863448,0.01274354161047,19.67564087158718,0
resnet18,FP16,2,15W,10.243968,0.5188027848847926,0.0490294777269321,19.480748710742336,0
resnet18,FP16,2,15W,10.164864,0.5215116969109815,0.0161910863347004,19.06758969531127,0
resnet18,FP16,2,25W,11.214592,0.1246259409608748,0.4327545702646273,81.24986661142196,0
resnet18,FP16,2,25W,11.096128,0.12707513755937,0.1432731224000027,84.57705862103181,0
resnet18,FP16,2,25W,11.293568,0.1224617612164615,0.1925583485447042,87.55518741362071,0
resnet18,FP16,2,25W,10.402176,0.5147459081916201,-0.0155782234736022,19.709139817467268,0
resnet18,FP16,2,25W,10.362624,0.5117605349772512,0.0029139685113534,19.828394758352545,0
resnet18,FP16,2,25W,10.204415999999998,0.5163122251264575,0.0289995447465052,19.508749697845264,0
resnet18,FP16,2,MAXN,13.61856,0.1136553458892048,1.4350420272184536,104.40796514750916,0
resnet18,FP16,2,MAXN,13.871488,0.1181106589746501,0.7310444734192563,110.2952097318178,0
resnet18,FP16,2,MAXN,13.989376,0.118215433615206,0.5752576581165711,110.9557325661347,0
resnet18,FP16,2,MAXN,11.590656,0.5300922449632945,-0.0571167600689208,19.746532076715965,0
resnet18,FP16,2,MAXN,10.520832,0.5264811798775028,0.028379631076204,19.501342279339337,0
resnet18,FP16,2,MAXN,10.48128,0.527601357206895,0.0125077077563077,19.686188232255446,0
resnet18,FP16,4,15W,13.85472,0.165721115131701,0.8954241622129923,75.61081051551842,0
resnet18,FP16,4,15W,13.81536,0.1698393180605739,0.475902844150335,77.10042129566624,0
resnet18,FP16,4,15W,13.776,0.1702774963887021,0.4450743528271467,77.10777923667744,0
