model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet18,FP16,1,7W,5.4509037972689995,0.19121483229194133,1.3259142750599595,5.229719828811337,0
resnet18,FP16,1,15W,11.766255236244536,0.37837442004179506,2.905592385882961,2.642884790915677,0
resnet18,FP16,1,25W,19.303392073211732,0.6319469436834219,5.083616596623041,1.5824113242344549,0
resnet18,FP16,1,MAXN,31.62969053790343,0.9351596930744519,8.003542174122735,1.069336079608369,0
resnet18,FP16,2,7W,5.994789958284359,0.24451745902059602,1.1808271153809895,4.089687517633531,0
resnet18,FP16,2,15W,12.66395291851388,0.4692051782662111,2.641945007844793,2.1312637761057145,0
resnet18,FP16,2,25W,20.959178181630584,0.769223333714882,4.563290276159354,1.3000125661433157,0
resnet18,FP16,2,MAXN,34.416090734964946,1.146356228941175,7.066864155323613,0.8723291894384732,0
resnet18,FP16,4,7W,6.723193652752592,0.3065470130987469,1.0792962966570732,3.2621423705664148,0
resnet18,FP16,4,15W,14.087662674007364,0.5853493440403272,2.331977623234266,1.7083815164079277,0
resnet18,FP16,4,25W,23.551812469787922,0.9372621035840566,3.962095982022873,1.0669374086245842,0
resnet18,FP16,4,MAXN,38.69532922903346,1.4313215953418648,6.132316732338601,0.698655007549966,0
resnet18,FP16,8,7W,7.524343631732792,0.39727050869251923,0.9963444127621138,2.517176528635765,0
resnet18,FP16,8,15W,15.709768367227992,0.7492067397049292,2.1141523849629285,1.3347450670209458,0
resnet18,FP16,8,25W,26.117275671460288,1.194345820161187,3.5453946026877463,0.8372784357088817,0
resnet18,FP16,8,MAXN,42.424514099691876,1.8917720647074827,5.441946139688314,0.5286049089400345,0
resnet18,FP16,16,7W,8.295684527919226,0.5017529216793775,0.878495950749582,1.993012809278677,0
resnet18,FP16,16,15W,17.467087889421713,0.9334687545202801,1.8688958323487388,1.071273135986122,0
resnet18,FP16,16,25W,29.0231200237106,1.5247529933725728,3.2087487278962685,0.655843932982298,0
resnet18,FP16,16,MAXN,46.86408949985674,2.2997992735446005,4.861680020374694,0.4348205565169759,1
resnet18,INT8,1,7W,4.682409547681229,0.1879322086994459,1.4655220458699079,5.321067670732635,0
resnet18,INT8,1,15W,10.041894825548868,0.3568241790103196,3.0733404243870273,2.8025006679019904,0
resnet18,INT8,1,25W,16.486418862741996,0.5802864901498159,5.264135185563408,1.7232867160871248,0
resnet18,INT8,1,MAXN,26.387823378677282,0.8496228213972984,8.297899827686962,1.1769928664997367,0
resnet18,INT8,2,7W,5.148232383577161,0.23545483557499775,1.3588892180055498,4.2470990139485885,0
resnet18,INT8,2,15W,10.795001269744064,0.4352916064000117,2.8481473781634716,2.2973105506680707,0
resnet18,INT8,2,25W,17.902346644873774,0.6991274940597059,4.782263196914334,1.4303542751454135,0
resnet18,INT8,2,MAXN,28.6299207420989,1.0359565193007991,7.396762763415133,0.9652914783285814,0
resnet18,INT8,4,7W,5.712449675057802,0.2931984186296749,1.1655613819699857,3.4106595958931583,0
resnet18,INT8,4,15W,11.95404427576893,0.5475866566274675,2.4803863070097014,1.826194973703161,0
