model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss,speed_score
resnet18,FP16,8,15W,default,train,128,64,12.9888,12.83433225974026,12.773376,12.91008,1.012035510467832,6.823111695850004,3.286208656457365,0.0,56.875,0.020449557521451,174.0320438558913,0.8701602192794564,13.559300932000042,200.0,torch-cuda-FP16-train,14.74300411097175,ina3221,0,0.0004078049678355,14.74300411097175
resnet18,FP16,8,15W,default,train,128,64,13.1856,13.036677505376344,12.91008,13.14624,1.011423347287853,9.51344466864884,3.2184002774307974,0.0,57.218,0.0314544333629456,172.10036986247198,0.8605018493123598,13.200122824000571,200.0,torch-cuda-FP16-train,15.148809282677313,ina3221,1,0.0004136595525778,15.148809282677313
resnet18,FP16,8,25W,default,inference,128,64,18.026944,16.74207618348624,11.9187648,18.026944,1.0767448315508863,21.40314671190044,12.180888140510945,0.0,58.656,0.8058680904991122,47.30546181896774,0.2365273090948387,2.824591943999621,200.0,torch-cuda-FP16,70.7733689436467,ina3221,0,,70.7733689436467
resnet18,FP16,8,25W,default,inference,128,64,18.11456,17.304845211009177,14.5218368,18.07552,1.0467912182465342,11.51844876205383,8.89020655944509,0.0,59.218,0.4794834463633524,48.69366080010727,0.2434683040005363,2.812375637000514,200.0,torch-cuda-FP16,70.78295125702657,ina3221,1,,70.78295125702657
resnet18,FP16,8,25W,default,train,128,64,15.980544,15.686772115340256,15.535872,15.863040000000002,1.018727363571022,12.014114006477897,8.9177908360539,0.0,59.093,0.044121562039018,172.04810646409092,0.8602405323204546,10.967163352999703,200.0,torch-cuda-FP16-train,18.23134663151249,ina3221,0,0.0004132273024879,18.23134663151249
resnet18,FP16,8,25W,default,train,128,64,15.967424,15.655824589861751,15.5015008,15.823872,1.019903097939666,11.93545357182929,8.877873202644462,0.0,59.687,0.0568641133200275,171.67321685350754,0.8583660842675377,10.964773458999844,200.0,torch-cuda-FP16-train,18.22598482810902,ina3221,1,0.0003800407866947,18.22598482810902
resnet18,FP16,8,MAXN,default,inference,128,64,19.994688,18.171942834951462,11.768064,19.955712,1.1003054643966146,26.373621579934497,15.77997613179229,0.0,60.75,1.0856225273215554,47.93502021035879,0.2396751010517939,2.634300870999141,200.0,torch-cuda-FP16,75.76094726324304,ina3221,0,,75.76094726324304
resnet18,FP16,8,MAXN,default,inference,128,64,19.961856,19.08562736231884,16.3565568,19.922944,1.045910392204928,12.590454310499856,8.372911102148608,0.0,61.218,0.4518005793423643,50.30950523403621,0.251547526170181,2.634395652999956,200.0,torch-cuda-FP16,75.68767529382269,ina3221,1,,75.68767529382269
resnet18,FP16,8,MAXN,default,train,128,64,16.971135999999998,16.630133195779603,16.489728,16.853824,1.020505115635931,12.198153868881953,8.996402660125955,0.0,60.906,0.0313081632143968,178.0284987604208,0.890142493802104,10.704790013000093,200.0,torch-cuda-FP16-train,18.667849512388877,ina3221,0,0.0003636254114098,18.667849512388877
resnet18,FP16,8,MAXN,default,train,128,64,16.920576,16.648926803738316,16.528896,16.81472,1.016316318731168,12.194350898657756,9.059191139913116,0.0,61.375,0.0470676685018614,178.53709282045293,0.8926854641022647,10.72278371700122,200.0,torch-cuda-FP16-train,18.65133601029093,ina3221,1,0.0004087732522748,18.65133601029093
mobilenet_v3_large,FP16,8,25W,default,train,128,64,10.780224,9.943363160865475,9.729792,10.164864,1.084162755155941,11.67119781733925,6.05828869942071,0.0,53.906,0.001732378870634,272.3279514127936,1.361639757063968,27.38303950599948,200.0,torch-cuda-FP16-train,7.305493680383429,ina3221,0,0.0003452265518717,7.305493680383429
mobilenet_v3_large,FP16,8,MAXN,default,train,128,64,12.142592,10.63920904712042,9.927552,11.7496544,1.1413058946601378,17.215491714104747,6.468630393844663,0.0,55.437,-0.0329326600918173,260.43849878357304,1.3021924939178653,24.46950472900062,200.0,torch-cuda-FP16-train,8.171437148841806,ina3221,0,0.0005845109699293,8.171437148841806
mobilenet_v3_large,FP16,8,MAXN,default,train,128,64,11.017152,10.249315941804074,9.888,10.701248,1.07491583463284,11.94795877317463,6.3986125987857365,0.0,55.093,-0.0200014440533735,271.3230813036822,1.356615406518411,26.46390262800014,200.0,torch-cuda-FP16-train,7.557689407976183,ina3221,1,0.000330229580868,7.557689407976183
