model,precision,mode,batch_size,power_mode,epoch,loss,steps,epoch_time_s,p_avg_w,p_peak_w,energy_j,thermal_ramp_c_per_s,temp_max_c,trace_source,backend
resnet18,FP16,train,64,MAXN,0,2.37098,80,23.163,19.136,20.351,442.12,0.2251,64.72,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,1,1.88353,80,22.126,19.815,20.861,438.121,0.0756,65.69,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,2,1.70402,80,22.072,20.079,20.823,442.471,0.0717,66.28,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,3,1.63928,80,22.153,19.878,20.667,438.83,0.0503,66.69,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,4,1.5622,80,22.132,19.845,20.395,439.014,0.0483,67.03,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,5,1.48179,80,22.026,19.931,20.434,437.834,0.0465,67.31,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,6,1.39673,80,22.173,19.856,20.395,439.828,0.0401,67.41,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,7,1.32227,80,22.193,19.875,20.395,440.003,0.0393,67.66,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,8,1.25251,80,22.017,19.956,20.473,438.778,0.0339,67.69,ina3221,torch-cuda-FP16
resnet18,FP16,train,64,MAXN,9,1.15979,80,22.187,19.913,20.473,441.166,0.0341,67.56,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,0,5.74932,80,62.634,19.163,20.395,1200.347,0.0491,66.69,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,1,2.3044,80,60.767,19.486,19.89,1182.774,0.0146,67.12,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,2,2.24303,80,60.816,19.504,19.968,1185.478,0.0106,67.47,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,3,2.14936,80,60.798,19.564,19.968,1188.699,0.0062,67.59,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,4,2.11194,80,60.81,19.583,19.968,1190.059,0.0013,67.5,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,5,2.04532,80,60.857,19.604,20.084,1192.171,0.0034,67.31,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,6,1.9965,80,60.855,19.631,20.046,1193.965,0.006,67.41,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,7,1.94068,80,60.879,19.66,20.046,1195.569,0.0047,67.44,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,8,1.9045,80,60.915,19.659,20.123,1195.75,0.0065,67.41,ina3221,torch-cuda-FP16
resnet50,FP16,train,64,MAXN,9,1.8604,80,60.959,19.675,20.201,1198.832,0.006,67.47,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,0,2.02041,80,30.192,17.164,18.397,517.192,0.134,65.06,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,1,1.81577,80,27.874,18.051,18.475,501.55,0.0292,65.34,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,2,1.69126,80,28.027,17.992,18.436,502.98,0.0284,65.53,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,3,1.57189,80,27.939,18.022,18.436,502.765,0.0225,65.66,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,4,1.51263,80,28.018,18.012,18.475,503.439,0.0202,65.75,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,5,1.42438,80,28.001,18.028,18.514,503.315,0.02,65.66,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,6,1.3557,80,27.984,18.018,18.436,503.889,0.0174,65.59,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,7,1.2749,80,27.98,18.049,18.553,503.607,0.0233,65.62,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,8,1.21357,80,27.995,18.047,18.475,504.056,0.0211,65.72,ina3221,torch-cuda-FP16
mobilenet_v3_large,FP16,train,64,MAXN,9,1.14223,80,28.006,18.044,18.514,503.985,0.0187,65.66,ina3221,torch-cuda-FP16
