model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
resnet18,FP16,1,15W,default,inference,128,64,35.235968,32.79851631746031,27.863088000000005,35.147072,1.0743159129195765,23.013083879215618,13.906981370360725,0.0,49.937,0.1510199123119488,70.4762807579156,0.352381403789578,2.147583005999877,200.0,torch-cuda-FP16,92.79115113596029,ina3221,0,
resnet18,FP16,1,15W,default,inference,128,64,35.369728,33.67288422399999,30.6518784,35.290752,1.0503919938877881,14.466406813456285,9.210499516536142,0.0,50.312,0.2068098114296682,71.66121614586542,0.3583060807293271,2.127153989999897,200.0,torch-cuda-FP16,93.95519644607823,ina3221,1,
resnet18,FP16,1,15W,default,train,128,64,30.676928,29.748314140845075,28.718995200000005,30.202047999999998,1.0312156801477337,21.844587437010816,11.168732064364386,0.0,50.437,0.05360590272113086,291.02427191701986,1.4551213595850994,9.781634132000363,200.0,torch-cuda-FP16-train,20.44521291184733,ina3221,0,0.0
resnet18,FP16,1,15W,default,train,128,64,30.320768,29.70340292150171,29.420592,30.162432,1.020784321585302,16.313477399210004,9.522268432284436,0.0,50.875,0.0456430249446845,297.30980769381944,1.4865490384690971,10.00878923899927,200.0,torch-cuda-FP16-train,19.977669739893404,ina3221,1,0.0
resnet18,FP16,1,25W,default,inference,128,64,32.403839999999995,30.693205956204377,26.0255616,32.403712,1.0557333126502488,20.06636064395066,13.874753844507854,0.0,51.125,0.0849408829478736,72.62719201176776,0.3631359600588388,2.364808465000351,200.0,torch-cuda-FP16,84.38665405403361,ina3221,0,
resnet18,FP16,1,25W,default,inference,128,64,32.52224,31.421816525547445,28.9588736,32.482687999999996,1.0350210012065297,13.715837702328832,8.89840447226325,0.0,51.343,0.07541097821523655,74.16691485547373,0.37083457427736866,2.3596283899996706,200.0,torch-cuda-FP16,84.62092032072118,ina3221,1,
resnet18,FP16,1,25W,default,train,128,64,29.766784,29.217710740368513,29.054592,29.489728,1.0187924805098731,13.919664312583253,9.239096999375414,0.0,51.5,0.037245935288329174,299.18914436809587,1.4959457218404792,10.239827190000142,200.0,torch-cuda-FP16-train,19.5256713936471,ina3221,0,0.0
resnet18,FP16,1,25W,default,train,128,64,29.01536,28.77788018481848,28.589872000000003,28.936176,1.00825216498423,12.151806451819832,7.350907956106927,0.0,51.843,0.03665119863808461,299.9767330273786,1.499883665136893,10.42359391700029,200.0,torch-cuda-FP16-train,19.178802476665634,ina3221,1,0.0
resnet18,FP16,1,MAXN,default,inference,128,64,39.513088,35.998108,27.712384,39.394816000000006,1.097643465039885,32.86390126689488,23.78046334965309,0.0,52.656,0.47502483283668645,68.13500183333103,0.34067500916665516,1.890127864000533,200.0,torch-cuda-FP16,104.99244884596986,ina3221,0,
resnet18,FP16,1,MAXN,default,inference,128,64,39.630848,38.107686630630624,34.912383999999996,39.59168,1.0399699248115752,19.27788013595572,9.291755610927266,0.0,53.0,0.4505186990338558,71.30000525421836,0.3565000262710918,1.8701691710002706,200.0,torch-cuda-FP16,106.82229227564324,ina3221,1,
resnet18,FP16,1,MAXN,default,train,128,64,32.009088,30.358532914858095,30.043456000000003,31.07968,1.0543687367822074,18.973935979412254,7.482638260248428,0.0,52.531,0.007673736575497961,309.0832683986862,1.545416341993431,10.181312710000384,200.0,torch-cuda-FP16-train,19.62878725724422,ina3221,0,0.0
resnet18,FP16,1,MAXN,default,train,128,64,30.54208,30.18380969536424,29.885248,30.40768,1.0118696184561085,14.157327726827871,9.179703164758267,0.0,52.718,0.023138696737439072,308.8328730058041,1.5441643650290207,10.2315861269999,200.0,torch-cuda-FP16-train,19.533639391395177,ina3221,1,0.0
resnet18,FP16,4,15W,default,inference,128,64,46.33446399999999,43.139768303797474,32.1475424,46.223231999999996,1.0740545399712147,40.32459698799736,24.10961436049958,0.0,54.062,0.691035356469654,110.60854131653753,0.5530427065826876,2.569789025999853,200.0,torch-cuda-FP16,77.52463511378505,ina3221,0,
resnet18,FP16,4,15W,default,inference,128,64,46.636672000000004,44.628577483443706,39.523712,46.636672000000004,1.0449957096952343,22.384788977464087,16.556031034567788,0.0,54.437,0.32326764933795615,114.142506940623,0.570712534703115,2.550627046000045,200.0,torch-cuda-FP16,78.36604833211207,ina3221,1,
resnet18,FP16,4,15W,default,train,128,64,39.387392,38.053983027200005,37.71596800000001,39.151078399999996,1.0350399318738044,21.640671471009824,13.393988179708524,0.0,54.312,0.031752149967046915,401.75459533367155,2.0087729766683577,10.556829211999684,200.0,torch-cuda-FP16-train,18.940822231643516,ina3221,0,0.00014670577365905046
resnet18,FP16,4,15W,default,train,128,64,38.91481600000001,37.96962051282052,37.745152000000004,38.4774976,1.0248934667877532,22.168109662778757,13.157882062961106,0.0,54.875,0.0511270303207635,400.55109983695843,2.0027554991847922,10.548576402000435,200.0,torch-cuda-FP16-train,18.950377518983615,ina3221,1,0.0001421168853994459
resnet18,FP16,4,25W,default,inference,128,64,53.353472000000004,46.4983744,29.57064,53.249280000000006,1.1474266076708264,51.421509848958245,37.85064827954124,0.0,56.062,1.2237898269114547,104.38862544224702,0.5219431272112351,2.242196758999853,200.0,torch-cuda-FP16,88.87355788414548,ina3221,0,
resnet18,FP16,4,25W,default,inference,128,64,53.392192,50.065842285714275,41.545103999999995,53.225696,1.0664395037099947,30.638959952017125,17.975088616331607,0.0,56.562,0.6082500657490371,108.4992090762334,0.542496045381167,2.1658445950006353,200.0,torch-cuda-FP16,92.1339856127056,ina3221,1,
resnet18,FP16,4,25W,default,train,128,64,42.15232,41.308984197879866,39.268480000000004,42.006752000000006,1.0204153120318902,19.53131920935183,16.242512762558075,0.0,56.125,0.06638757347019571,403.64792840722725,2.018239642036136,9.76916213899949,200.0,torch-cuda-FP16-train,20.445823242884167,ina3221,0,0.0001275754621019587
