model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
resnet18,FP16,1,15W,default,inference,128,64,10.520832,9.96558268852459,8.614528,10.520832,1.0557166930253645,6.81604477677432,3.5666582447200685,0.0,49.093,0.20226577994415734,23.161063922788713,0.11580531961394357,2.3168150680003237,200.0,torch-cuda-FP16,85.89356954594254,ina3221,0,
resnet18,FP16,1,15W,default,inference,128,64,10.797696,10.580037818181816,9.8959104,10.797696,1.020572533440678,3.4691605465784465,3.405070200258099,0.0,49.531,0.2164168679379571,21.766186292679038,0.10883093146339519,2.0546735039997657,200.0,torch-cuda-FP16,96.88871773175259,ina3221,1,
resnet18,FP16,1,15W,default,train,128,64,9.666304,9.487409462857142,9.270144,9.626688,1.0188559941302442,6.263626482811851,3.200244310490286,0.0,49.625,0.05975790680241455,87.88427593152448,0.4394213796576224,9.263078670999676,200.0,torch-cuda-FP16-train,21.590719091477876,ina3221,0,0.0
resnet18,FP16,1,15W,default,train,128,64,9.626688,9.48333179661017,9.349376,9.587072000000001,1.015116649555705,5.992478090677757,3.2076433808938702,0.0,50.125,0.05240703389204251,87.92779402019531,0.4396389701009765,9.270758427000146,200.0,torch-cuda-FP16-train,21.549219143378245,ina3221,1,0.0
resnet18,FP16,1,25W,default,inference,128,64,10.006656000000001,9.50837855319149,8.068928,10.006656000000001,1.0524040396605019,6.554331243671922,3.37667422235825,0.0,50.25,0.10201283176512753,22.754895650410226,0.11377447825205113,2.3918147809999937,200.0,torch-cuda-FP16,83.37862077864482,ina3221,0,
resnet18,FP16,1,25W,default,inference,128,64,10.08576,9.82817319587629,9.0581984,10.046208,1.0262090216553965,6.700267226324522,3.361692607924236,0.0,50.531,0.13442547850780057,22.537310186303838,0.11268655093151919,2.2926325459993677,200.0,torch-cuda-FP16,86.85787283451941,ina3221,1,
resnet18,FP16,1,25W,default,train,128,64,9.626688,9.276165632,9.151296,9.468224,1.0377874201373467,6.158539964782663,3.179253292657629,0.0,50.593,0.02162530888737768,92.14515929247428,0.4607257964623714,9.933645093999985,200.0,torch-cuda-FP16-train,20.128382154642747,ina3221,0,0.0
resnet18,FP16,1,25W,default,train,128,64,9.349376,9.126743861728395,9.072064000000001,9.230528,1.0243933807768155,6.108731912559459,3.2704970707541716,0.0,50.843,0.02484654380635802,94.89471993860508,0.4744735996930254,10.397015499999725,200.0,torch-cuda-FP16-train,19.230579831747708,ina3221,1,0.0
resnet18,FP16,1,MAXN,default,inference,128,64,11.767424,10.637451746835444,8.519296,11.727936,1.1062258405544085,6.277092202317026,6.00677271220879,0.0,51.593,0.5518891948502515,21.429708586958544,0.10714854293479271,2.0139528070003507,200.0,torch-cuda-FP16,99.21863395956645,ina3221,0,
resnet18,FP16,1,MAXN,default,inference,128,64,11.8464,11.447133405405406,10.520832,11.8464,1.0348791772100827,6.243856604359312,3.1122022116964008,0.0,51.906,0.3248628617726021,21.585424252943277,0.10792712126471639,1.8848170050005137,200.0,torch-cuda-FP16,105.51365397327744,ina3221,1,
